time,unit,fuel,output,capacity
131,2,Wind offshore,195.2,200.0
131,3,Wind onshore,131.4,200.0
131,4,Wind offshore,195.2,200.0
132,1,Solar PV,76.4,200.0
132,2,Wind offshore,195.4,200.0
132,3,Wind onshore,118.0,200.0
132,4,Wind offshore,195.4,200.0
133,1,Solar PV,92.60000000000001,200.0
133,2,Wind offshore,195.2,200.0
133,3,Wind onshore,112.4,200.0
133,4,Wind offshore,195.2,200.0
134,1,Solar PV,23.0,200.0
134,2,Wind offshore,194.2,200.0
134,3,Wind onshore,133.6,200.0
134,4,Wind offshore,194.2,200.0
135,1,Solar PV,20.0,200.0
135,2,Wind offshore,193.4,200.0
135,3,Wind onshore,132.8,200.0
135,4,Wind offshore,193.4,200.0
136,1,Solar PV,6.800000000000001,200.0
136,2,Wind offshore,190.2,200.0
136,3,Wind onshore,114.99999999999999,200.0
136,4,Wind offshore,190.2,200.0
137,1,Solar PV,0.0,200.0
137,2,Wind offshore,192.79999999999998,200.0
137,3,Wind onshore,122.0,200.0
137,4,Wind offshore,192.79999999999998,200.0
138,1,Solar PV,0.0,200.0
138,2,Wind offshore,191.79999999999998,200.0
138,3,Wind onshore,152.4,200.0
138,4,Wind offshore,191.79999999999998,200.0
139,1,Solar PV,0.0,200.0
139,2,Wind offshore,192.6,200.0
139,3,Wind onshore,138.0,200.0
139,4,Wind offshore,192.6,200.0
140,1,Solar PV,0.0,200.0
140,2,Wind offshore,192.0,200.0
140,3,Wind onshore,109.2,200.0
140,4,Wind offshore,192.0,200.0
141,1,Solar PV,0.0,200.0
141,2,Wind offshore,188.79999999999998,200.0
141,3,Wind onshore,105.80000000000001,200.0
141,4,Wind offshore,188.79999999999998,200.0
142,1,Solar PV,0.0,200.0
142,2,Wind offshore,181.0,200.0
142,3,Wind onshore,114.19999999999999,200.0
142,4,Wind offshore,181.0,200.0
143,1,Solar PV,0.0,200.0
143,2,Wind offshore,187.6,200.0
143,3,Wind onshore,144.6,200.0
143,4,Wind offshore,187.6,200.0
144,1,Solar PV,0.0,200.0
144,2,Wind offshore,182.0,200.0
144,3,Wind onshore,139.39999999999998,200.0
144,4,Wind offshore,182.0,200.0
145,1,Solar PV,0.0,200.0
145,2,Wind offshore,181.0,200.0
145,3,Wind onshore,135.20000000000002,200.0
145,4,Wind offshore,181.0,200.0
146,1,Solar PV,0.0,200.0
146,2,Wind offshore,184.4,200.0
146,3,Wind onshore,135.0,200.0
146,4,Wind offshore,184.4,200.0
147,1,Solar PV,0.0,200.0
147,2,Wind offshore,186.4,200.0
147,3,Wind onshore,131.8,200.0
147,4,Wind offshore,186.4,200.0
148,1,Solar PV,0.0,200.0
148,2,Wind offshore,193.6,200.0
148,3,Wind onshore,134.0,200.0
148,4,Wind offshore,193.6,200.0
149,1,Solar PV,0.0,200.0
149,2,Wind offshore,196.0,200.0
149,3,Wind onshore,137.20000000000002,200.0
149,4,Wind offshore,196.0,200.0
150,1,Solar PV,0.0,200.0
150,2,Wind offshore,197.2,200.0
150,3,Wind onshore,142.0,200.0
150,4,Wind offshore,197.2,200.0
151,1,Solar PV,0.0,200.0
151,2,Wind offshore,197.0,200.0
151,3,Wind onshore,139.0,200.0
151,4,Wind offshore,197.0,200.0
152,1,Solar PV,0.8,200.0
152,2,Wind offshore,195.79999999999998,200.0
152,3,Wind onshore,134.0,200.0
152,4,Wind offshore,195.79999999999998,200.0
153,1,Solar PV,12.2,200.0
153,2,Wind offshore,194.6,200.0
153,3,Wind onshore,129.6,200.0
153,4,Wind offshore,194.6,200.0
154,1,Solar PV,16.6,200.0
154,2,Wind offshore,195.6,200.0
154,3,Wind onshore,123.8,200.0
154,4,Wind offshore,195.6,200.0
155,1,Solar PV,17.4,200.0
155,2,Wind offshore,195.6,200.0
155,3,Wind onshore,122.6,200.0
155,4,Wind offshore,195.6,200.0
156,1,Solar PV,100.6,200.0
156,2,Wind offshore,195.0,200.0
156,3,Wind onshore,122.6,200.0
156,4,Wind offshore,195.0,200.0
157,1,Solar PV,44.0,200.0
157,2,Wind offshore,193.79999999999998,200.0
157,3,Wind onshore,122.6,200.0
157,4,Wind offshore,193.79999999999998,200.0
158,1,Solar PV,11.600000000000001,200.0
158,2,Wind offshore,194.4,200.0
158,3,Wind onshore,128.0,200.0
158,4,Wind offshore,194.4,200.0
159,1,Solar PV,24.8,200.0
159,2,Wind offshore,194.79999999999998,200.0
159,3,Wind onshore,132.20000000000002,200.0
159,4,Wind offshore,194.79999999999998,200.0
160,1,Solar PV,9.4,200.0
160,2,Wind offshore,195.2,200.0
160,3,Wind onshore,136.0,200.0
160,4,Wind offshore,195.2,200.0
161,1,Solar PV,0.0,200.0
161,2,Wind offshore,195.4,200.0
161,3,Wind onshore,137.4,200.0
161,4,Wind offshore,195.4,200.0
162,1,Solar PV,0.0,200.0
162,2,Wind offshore,195.6,200.0
162,3,Wind onshore,137.6,200.0
162,4,Wind offshore,195.6,200.0
163,1,Solar PV,0.0,200.0
163,2,Wind offshore,195.79999999999998,200.0
163,3,Wind onshore,137.79999999999998,200.0
163,4,Wind offshore,195.79999999999998,200.0
164,1,Solar PV,0.0,200.0
164,2,Wind offshore,195.0,200.0
164,3,Wind onshore,134.60000000000002,200.0
164,4,Wind offshore,195.0,200.0
165,1,Solar PV,0.0,200.0
165,2,Wind offshore,193.4,200.0
165,3,Wind onshore,132.0,200.0
165,4,Wind offshore,193.4,200.0
166,1,Solar PV,0.0,200.0
166,2,Wind offshore,192.4,200.0
166,3,Wind onshore,129.4,200.0
166,4,Wind offshore,192.4,200.0
167,1,Solar PV,0.0,200.0
167,2,Wind offshore,187.6,200.0
167,3,Wind onshore,125.8,200.0
167,4,Wind offshore,187.6,200.0
168,1,Solar PV,0.0,200.0
168,2,Wind offshore,184.60000000000002,200.0
168,3,Wind onshore,106.4,200.0
168,4,Wind offshore,184.60000000000002,200.0
