time,unit,demand_ptg
144,4,0.0
145,1,0.0
145,2,0.0
145,3,0.0
145,4,0.0
146,1,0.0
146,2,163.88704037351874
146,3,0.0
146,4,0.0
147,1,0.0
147,2,0.0
147,3,0.0
147,4,0.0
148,1,0.0
148,2,65.02986085515377
148,3,0.0
148,4,0.0
149,1,0.0
149,2,170.58674248957368
149,3,3.103563296296352
149,4,4.433661851851922
150,1,0.0
150,2,166.68973433527304
150,3,6.87470074571217
150,4,9.547119627143964
151,1,0.0
151,2,0.0
151,3,0.0
151,4,0.0
152,1,0.0
152,2,0.0
152,3,0.0
152,4,0.0
153,1,0.0
153,2,0.0
153,3,0.0
153,4,0.0
154,1,0.0
154,2,0.0
154,3,0.0
154,4,0.0
155,1,0.0
155,2,0.0
155,3,0.0
155,4,0.0
156,1,0.0
156,2,0.0
156,3,0.0
156,4,0.0
157,1,0.0
157,2,0.0
157,3,0.0
157,4,0.0
158,1,0.0
158,2,0.0
158,3,0.0
158,4,0.0
159,1,0.0
159,2,0.0
159,3,0.0
159,4,0.0
160,1,0.0
160,2,0.0
160,3,0.0
160,4,0.0
161,1,0.0
161,2,0.0
161,3,0.0
161,4,0.0
162,1,0.0
162,2,0.0
162,3,0.0
162,4,0.0
163,1,0.0
163,2,0.0
163,3,0.0
163,4,0.0
164,1,0.0
164,2,0.0
164,3,0.0
164,4,0.0
165,1,0.0
165,2,0.0
165,3,0.0
165,4,0.0
166,1,0.0
166,2,0.0
166,3,0.0
166,4,0.0
167,1,0.0
167,2,0.0
167,3,0.0
167,4,0.0
168,1,0.0
168,2,0.0
168,3,0.0
168,4,0.0
